arch_config,gpu latency,flops,params,top1
"{'wid': None, 'ks': [5, 7, 3, 5, 7, 7, 3, 7, 7, 5, 5, 7, 5, 3, 3, 7, 3, 3, 5, 7], 'e': [4, 4, 4, 3, 3, 6, 3, 3, 3, 6, 6, 6, 4, 6, 6, 3, 4, 3, 6, 4], 'd': [2, 2, 2, 4, 3], 'r': [192]}",28.1309,293857664,7224216,78.64583333
"{'wid': None, 'ks': [5, 5, 5, 7, 7, 7, 3, 7, 7, 7, 7, 5, 3, 3, 3, 7, 5, 3, 3, 5], 'e': [4, 4, 4, 4, 3, 6, 3, 4, 3, 3, 6, 4, 6, 6, 4, 4, 3, 6, 3, 4], 'd': [2, 2, 2, 4, 3], 'r': [208]}",31.0224,329311296,7014272,79.375
"{'wid': None, 'ks': [7, 7, 5, 5, 3, 5, 3, 3, 5, 3, 3, 5, 7, 5, 3, 3, 3, 5, 7, 3], 'e': [4, 6, 3, 4, 6, 6, 4, 3, 4, 3, 6, 3, 4, 6, 3, 6, 4, 4, 6, 6], 'd': [2, 2, 2, 4, 3], 'r': [224]}",40.0508,429585024,7434096,79.16666667
"{'wid': None, 'ks': [3, 3, 7, 3, 7, 3, 7, 7, 5, 3, 7, 7, 7, 7, 3, 5, 3, 7, 5, 7], 'e': [4, 6, 4, 3, 6, 3, 4, 3, 3, 3, 6, 3, 6, 6, 6, 3, 4, 6, 3, 3], 'd': [2, 2, 2, 4, 4], 'r': [160]}",20.1228,209400384,7754896,75.625
"{'wid': None, 'ks': [3, 5, 7, 3, 3, 7, 7, 5, 5, 3, 5, 5, 5, 5, 5, 5, 7, 3, 5, 3], 'e': [3, 4, 4, 4, 6, 6, 4, 6, 6, 6, 6, 6, 3, 4, 3, 6, 3, 6, 6, 4], 'd': [2, 2, 2, 4, 4], 'r': [176]}",23.714,255144080,8169288,78.02083333
"{'wid': None, 'ks': [5, 3, 5, 3, 7, 7, 7, 7, 7, 7, 5, 3, 7, 3, 3, 7, 5, 7, 7, 3], 'e': [6, 3, 3, 3, 3, 6, 3, 4, 3, 3, 4, 6, 3, 3, 6, 3, 4, 4, 3, 6], 'd': [2, 2, 2, 4, 4], 'r': [192]}",26.8417,278987648,7387256,78.95833333
"{'wid': None, 'ks': [3, 7, 5, 3, 5, 3, 5, 5, 7, 3, 5, 5, 7, 7, 5, 7, 3, 3, 7, 3], 'e': [4, 6, 4, 6, 3, 6, 4, 6, 3, 4, 6, 3, 6, 3, 4, 4, 3, 4, 3, 3], 'd': [2, 2, 2, 4, 4], 'r': [208]}",32.8046,337785472,6584920,79.0625
"{'wid': None, 'ks': [7, 3, 3, 7, 3, 7, 7, 7, 3, 5, 5, 7, 5, 7, 7, 7, 3, 5, 5, 5], 'e': [6, 4, 6, 4, 6, 6, 4, 3, 3, 6, 6, 6, 3, 3, 3, 6, 6, 4, 6, 4], 'd': [2, 2, 2, 4, 4], 'r': [224]}",40.428,437956224,7975848,78.95833333
"{'wid': None, 'ks': [5, 5, 5, 7, 3, 3, 7, 5, 3, 7, 3, 5, 5, 3, 7, 3, 3, 3, 3, 5], 'e': [3, 3, 3, 6, 4, 3, 6, 3, 4, 3, 6, 6, 6, 3, 4, 6, 4, 4, 6, 3], 'd': [2, 2, 3, 2, 2], 'r': [160]}",14.6566,133746816,5268760,73.85416667
"{'wid': None, 'ks': [3, 7, 7, 5, 5, 3, 5, 5, 7, 5, 7, 7, 3, 5, 5, 3, 7, 3, 7, 3], 'e': [4, 4, 6, 4, 4, 4, 6, 3, 4, 6, 3, 6, 4, 6, 4, 6, 6, 3, 6, 3], 'd': [2, 2, 3, 2, 2], 'r': [176]}",20.1144,199569936,5653976,76.35416667
"{'wid': None, 'ks': [7, 5, 3, 5, 7, 3, 5, 3, 7, 7, 5, 7, 5, 5, 5, 7, 7, 5, 7, 7], 'e': [4, 3, 6, 6, 4, 6, 3, 4, 3, 3, 3, 4, 4, 4, 6, 3, 3, 3, 4, 4], 'd': [2, 2, 3, 2, 2], 'r': [192]}",21.6503,201373408,4946464,76.66666667
"{'wid': None, 'ks': [3, 5, 7, 5, 3, 5, 5, 7, 5, 7, 7, 5, 7, 3, 5, 3, 5, 7, 7, 7], 'e': [4, 3, 6, 6, 3, 3, 6, 3, 6, 3, 3, 4, 4, 3, 4, 6, 3, 4, 3, 3], 'd': [2, 2, 3, 2, 2], 'r': [208]}",24.2233,219039328,5031432,77.1875
