,time,train_ratio,args.mtl_ratio,test accuracy,max valid acc,train_loss,val_loss,best epoch,,,
lstm_64,2021031411042424,"[100, 200, 500]","[1, 0, 0, 0]","[0.9546653306613226, 0.4774428857715431, 0.4945851703406814, 0.4534188376753507]","[0.9606532663316583, 0.4853768844221106, 0.4921356783919598, 0.4471859296482412]","tensor([1.7515e-03, 2.7583e+00, 3.5415e+00, 2.7714e+00], device='cuda:0')","tensor([ 0.3076, 17.2786, 31.9765, 20.4449], device='cuda:0')",98
lstm_64,2021031411043737,"[50, 200, 500]","[1, 0, 0, 0]","[0.9292024048096192, 0.5095310621242485, 0.5112905811623246, 0.5674028056112225]","[0.9341959798994975, 0.5094472361809045, 0.5138693467336684, 0.5784673366834171]","tensor([0.0102, 2.5799, 1.7305, 2.3358], device='cuda:0')","tensor([ 0.6999, 18.5025, 17.9693, 14.8394], device='cuda:0')",93
lstm_64,2021031412072222,"[50, 200, 500]","[0.25, 0.25, 0.25, 0.25]","[0.9232865731462926, 0.8447294589178357, 0.9465050100200401, 0.9396673346693387]","[0.9273869346733669, 0.8417336683417086, 0.9458291457286432, 0.9484673366834171]","tensor([0.0455, 0.1192, 0.0224, 0.0171], device='cuda:0')","tensor([0.9789, 4.4993, 0.8186, 0.4460], device='cuda:0')",48
lstm_64,2021031412073636,"[100, 200, 500]","[0.25, 0.25, 0.25, 0.25]","[0.9400200400801603, 0.8459318637274549, 0.9592745490981964, 0.9557795591182364]","[0.9483919597989949, 0.8444723618090453, 0.9637688442211055, 0.9592462311557789]","tensor([0.0167, 0.0360, 0.0084, 0.0083], device='cuda:0')","tensor([0.4631, 3.9851, 0.3986, 0.3329], device='cuda:0')",71
lstm_64,2021031412075656,"[400, 200, 500]","[0.25, 0.25, 0.25, 0.25]","[0.9692344689378758, 0.8441122244488978, 0.9777034068136272, 0.980501002004008]","[0.9720100502512563, 0.8559547738693467, 0.9807286432160804, 0.9840452261306533]","tensor([0.0033, 0.0036, 0.0024, 0.0012], device='cuda:0')","tensor([0.2395, 3.4997, 0.1869, 0.0830], device='cuda:0')",49
lstm_64,2021031412074747,"[200, 200, 500]","[0.25, 0.25, 0.25, 0.25]","[0.9628777555110221, 0.8416993987975951, 0.9764488977955912, 0.9677755511022044]","[0.9634673366834171, 0.8459045226130654, 0.9733417085427135, 0.9719095477386934]","tensor([0.0044, 0.0056, 0.0024, 0.0022], device='cuda:0')","tensor([0.2903, 4.5765, 0.2298, 0.1724], device='cuda:0')",93
lstm_64_fixed2021031412072222,2021031415075959,"[50, 200, 500]","[1, 0, 0, 0]","[0.923559118236473, 0.8447294589178357, 0.9465050100200401, 0.9396673346693387]","[0.9276130653266331, 0.8417336683417086, 0.9458291457286432, 0.9484673366834171]","tensor([0.0429, 0.1118, 0.0207, 0.0165], device='cuda:0')","tensor([0.9734, 4.4993, 0.8186, 0.4460], device='cuda:0')",1
lstm_64_2021031412073636,2021031415090505,"[100, 200, 500]","[1, 0, 0, 0]","[0.9411823647294589, 0.8469418837675351, 0.956997995991984, 0.9555991983967936]","[0.9495477386934673, 0.8451507537688442, 0.9610804020100503, 0.9588693467336683]","tensor([0.0136, 0.0358, 0.0118, 0.0080], device='cuda:0')","tensor([0.4579, 4.0847, 0.4510, 0.3335], device='cuda:0')",1
lstm_64_2021031412074747,2021031415120606,"[200, 200, 500]","[1, 0, 0, 0]","[0.9622925851703407, 0.8363326653306613, 0.974124248496994, 0.9662685370741483]","[0.9628894472361809, 0.8437688442211055, 0.9715577889447237, 0.9708040201005025]","tensor([0.0040, 0.0156, 0.0042, 0.0030], device='cuda:0')","tensor([0.3082, 4.5752, 0.2912, 0.1756], device='cuda:0')",5
lstm_64_2021031412075656,2021031415103333,"[400, 200, 500]","[1, 0, 0, 0]","[0.9684609218436874, 0.8432865731462926, 0.9773507014028057, 0.9802925851703407]","[0.9705527638190955, 0.8560552763819096, 0.9810301507537689, 0.9840452261306533]","tensor([0.0021, 0.0053, 0.0027, 0.0018], device='cuda:0')","tensor([0.2551, 3.5505, 0.1587, 0.0786], device='cuda:0')",0
lstm_64_fixed2021031412075656,2021031415111212,"[400, 200, 500]","[1, 0, 0, 0]","[0.9690300601202405, 0.8441122244488978, 0.9777034068136272, 0.980501002004008]","[0.970929648241206, 0.8559547738693467, 0.9807286432160804, 0.9840452261306533]","tensor([0.0027, 0.0061, 0.0033, 0.0017], device='cuda:0')","tensor([0.2384, 3.4997, 0.1869, 0.0830], device='cuda:0')",0
lstm_64_2021031412072222,2021031415072222,"[50, 200, 500]","[1, 0, 0, 0]","[0.9277995991983968, 0.8337755511022044, 0.9371943887775551, 0.9373266533066132]","[0.9308291457286432, 0.834748743718593, 0.9396733668341709, 0.9468090452261306]","tensor([0.0229, 0.1451, 0.0509, 0.0285], device='cuda:0')","tensor([0.8340, 4.8606, 0.9765, 0.5082], device='cuda:0')",59
lstm_64_fixed2021031412073636,2021031415084343,"[100, 200, 500]","[1, 0, 0, 0]","[0.9394308617234469, 0.8459318637274549, 0.9592745490981964, 0.9557795591182364]","[0.9480402010050252, 0.8444723618090453, 0.9637688442211055, 0.9592462311557789]","tensor([0.0139, 0.0355, 0.0082, 0.0080], device='cuda:0')","tensor([0.4748, 3.9851, 0.3986, 0.3329], device='cuda:0')",63
lstm_64_fixed2021031412074747,2021031415114848,"[200, 200, 500]","[1, 0, 0, 0]","[0.9629939879759519, 0.8416993987975951, 0.9764488977955912, 0.9677755511022044]","[0.9634924623115578, 0.8459045226130654, 0.9733417085427135, 0.9719095477386934]","tensor([0.0042, 0.0054, 0.0025, 0.0022], device='cuda:0')","tensor([0.2868, 4.5765, 0.2298, 0.1724], device='cuda:0')",79


lstm_64_,2021031422082222,"[400, 200, 500]","[0.9, 0, 0.05, 0.05]","[0.9732985971943888, 0.347062124248497, 0.9815070140280561, 0.977246492985972]","[0.9777638190954774, 0.33391959798994975, 0.9822110552763819, 0.9780653266331658]","tensor([2.5737e-03, 2.6680e+00, 5.1545e-03, 3.4524e-03], device='cuda:0')","tensor([ 0.1917, 18.7089,  0.1486,  0.1011], device='cuda:0')",36
lstm_64_,2021031422083535,"[200, 200, 500]","[0.9, 0, 0.05, 0.05]","[0.9709098196392786, 0.28178356713426855, 0.9626132264529058, 0.9684448897795591]","[0.9712562814070351, 0.27665829145728643, 0.9628643216080403, 0.9702763819095478]","tensor([0.0046, 3.6557, 0.0223, 0.0102], device='cuda:0')","tensor([ 0.2690, 26.1565,  0.3381,  0.1870], device='cuda:0')",46
lstm_64_,2021031422084848,"[100, 200, 500]","[0.9, 0, 0.05, 0.05]","[0.9562685370741483, 0.49027655310621243, 0.9544328657314629, 0.9453587174348698]","[0.9608040201005025, 0.49092964824120605, 0.9575376884422111, 0.9498743718592965]","tensor([0.0051, 3.9367, 0.0290, 0.0346], device='cuda:0')","tensor([ 0.3681, 25.9982,  0.4915,  0.4542], device='cuda:0')",57
lstm_64_,2021031422091111,"[50, 200, 500]","[0.9, 0, 0.05, 0.05]","[0.9248937875751503, 0.4904689378757515, 0.9401042084168336, 0.9380841683366733]","[0.9279145728643217, 0.49055276381909546, 0.9439698492462312, 0.9437437185929648]","tensor([0.0069, 4.3078, 0.0167, 0.0609], device='cuda:0')","tensor([ 0.8378, 35.3549,  0.8007,  0.5510], device='cuda:0')",97

lstm_64_,2021031422062323,"[50, 200, 500]","[0.3333, 0, 0.3333, 0.3333]","[0.9217354709418838, 0.4893507014028056, 0.9466372745490982, 0.9402404809619238]","[0.9231909547738694, 0.4893718592964824, 0.9514321608040202, 0.9454773869346733]","tensor([0.0214, 3.7092, 0.0112, 0.0142], device='cuda:0')","tensor([ 0.9367, 28.9030,  0.6314,  0.5322], device='cuda:0')",81
